alpha	basic_estimate	basic_lower	basic_upper	basic_se	basic_p.value	basic_n	basic_message	main_estimate	main_lower	main_upper	main_se	main_p.value	main_n	main_message
shannon	-0.167822811386291	-0.262943144053816	-0.072702478718767	0.0485250393642151	0.000545791571631607	8972		-0.0318134012581937	-0.133016273745285	0.0693894712288975	0.0516272366866351	0.537771180654966	8118	
simpson	-1.36420923593134	-2.59014877328922	-0.138269698573457	0.625405343317826	0.0291859662616709	8972		-0.362013486061808	-1.63003560707488	0.906008634951266	0.646863834559452	0.57573796835214	8118	
invsimpson	-0.0035978852642111	-0.00654702193633904	-0.000648748592083168	0.0015044835220001	0.0168030757335199	8972		-0.000808368803173401	-0.00386718087217465	0.00225044326582784	0.00156041039928394	0.604438551061999	8118	
chao	-0.000909778579818744	-0.00140262373752716	-0.000416933422110326	0.000251421857005646	0.000297927640456559	8972		-3.65830999675296e-05	-0.000564126204654754	0.000490960004719694	0.000269118771619488	0.89187480290204	8118	
