alpha	basic_estimate	basic_lower	basic_upper	basic_se	basic_p.value	basic_n	basic_message	main_estimate	main_lower	main_upper	main_se	main_p.value	main_n	main_message
shannon	-0.168664118994676	-0.263784691435714	-0.0735435465536374	0.0485251616021173	0.000511759533441145	8972		-0.0338339615820501	-0.138749814845742	0.071081891681642	0.0535214783163861	0.527302331313257	8118	
simpson	-1.37408773581999	-2.599670838392	-0.148504633247982	0.625223498607878	0.0279924103744585	8972		-0.623053925624461	-1.93801973282506	0.691911881576135	0.670812956213997	0.353018229012159	8118	
invsimpson	-0.00364633678831145	-0.00659522853554468	-0.000697445041078214	0.00150435857391797	0.0153769251508781	8972		-0.00116361892397561	-0.00433782626034811	0.0020105884123969	0.00161928120727769	0.472406836265952	8118	
chao	-0.000911472633053676	-0.00140437773909549	-0.000418567527011859	0.000251452435710606	0.000290772506497853	8972		1.43881863919803e-05	-0.000533161963281571	0.000561938336065531	0.000279325684950576	0.958920061142398	8118	
